question,answer
FILMS WITH TOM CRUISE,"Tom Cruise's top 3 films are Top Gun, Jerry Maguire, and Mission: Impossible."
FILMS WITH BRAD PITT,"Brad Pitt's top 3 films are Fight Club, Once Upon a Time in Hollywood, and Inglourious Basterds."
FILMS WITH LEONARDO DICAPRIO,"Leonardo DiCaprio's top 3 films are Titanic, The Wolf of Wall Street, and Inception."
FILMS WITH JENNIFER LAWRENCE,"Jennifer Lawrence's top 3 films are The Hunger Games, Silver Linings Playbook, and American Hustle."
FILMS WITH AL PACINO,"Al Pacino's top 3 films are The Godfather, The Godfather Part II, and Scarface."
FILMS BY NOLAN,"Director Nolan's top 3 films are The Dark Knight, Inception, and Dunkirk."
FILMS BY TARANTINO,"Director Tarantino's top 3 films are Pulp Fiction, Inglourious Basterds, and Kill Bill."
FILMS BY TIM BURTON,"Director Tim Burton's top 3 films are Edward Scissorhands, The Nightmare Before Christmas, and Beetlejuice."
FILMS BY JAMES CAMERON,"Director James Cameron's top 3 films are Titanic, Avatar, and Terminator 2: Judgment Day."
FILMS BY RIDLEY SCOTT,"Director Ridley Scott's top 3 films are Blade Runner, Alien, and Gladiator."
